avgpathtokenlen,pathurlRatio,ArgUrlRatio,argDomanRatio,domainUrlRatio,pathDomainRatio,argPathRatio,CharacterContinuityRate,NumberRate_URL,NumberRate_FileName,NumberRate_AfterPath,Entropy_Domain,class
5.833,0.772,0.013,0.069,0.184,4.207,0.016,0.31,0.133,-1.0,-1.0,0.808,spam
4.2,0.619,0.048,0.222,0.214,2.889,0.077,0.667,0.071,1.0,-1.0,1.0,phishing
4.714,0.64,0.191,0.68,0.281,2.28,0.298,0.6,0.011,0.036,0.059,0.757,Defacement
5.5,0.696,0.232,1.3,0.179,3.9,0.333,0.5,0.089,-1.0,-1.0,0.88,spam
4.333,0.574,0.037,0.125,0.296,1.938,0.065,0.813,0.0,0.0,-1.0,0.895,benign
3.154,0.671,0.025,0.105,0.241,2.79,0.038,0.421,0.253,0.0,-1.0,0.817,phishing
2.667,0.835,0.755,6.563,0.115,7.25,0.905,0.375,0.036,0.044,0.048,0.863,Defacement
4.25,0.5,0.05,0.154,0.325,1.539,0.1,0.769,0.0,0.0,-1.0,0.917,phishing
5.333,0.7,0.025,0.118,0.213,3.294,0.036,0.824,0.025,1.0,-1.0,0.885,benign
3.8,0.848,0.644,6.909,0.093,9.091,0.76,0.727,0.22,0.272,0.329,0.895,phishing
4.5,0.663,0.113,0.45,0.25,2.65,0.17,0.35,0.038,0.273,0.222,0.789,malware
2.667,0.652,0.528,1.958,0.27,2.417,0.81,0.708,0.045,0.07,0.085,0.78,Defacement
8.333,0.609,0.022,0.069,0.315,1.931,0.036,0.69,0.217,0.625,-1.0,0.728,phishing
3.833,0.629,0.161,0.625,0.258,2.438,0.256,0.625,0.048,0.111,0.0,0.938,spam
6.143,0.742,0.03,0.2,0.152,4.9,0.041,0.4,0.0,0.0,-1.0,0.797,benign
2.6,0.515,0.061,0.222,0.273,1.889,0.118,0.667,0.03,0.091,-1.0,0.93,Defacement
4.25,0.5,0.05,0.154,0.325,1.539,0.1,0.769,0.1,0.286,-1.0,0.917,phishing
5.0,0.747,0.023,0.133,0.172,4.333,0.031,0.8,0.264,1.0,-1.0,0.898,benign
4.75,0.634,0.028,0.105,0.268,2.368,0.044,0.474,0.042,0.0,-1.0,0.892,malware
11.333,0.521,0.028,0.074,0.38,1.37,0.054,0.741,0.31,0.688,-1.0,0.79,phishing
3.667,0.804,0.637,4.115,0.155,5.192,0.793,0.5,0.25,0.521,0.087,0.791,spam
11.333,0.521,0.028,0.074,0.38,1.37,0.054,0.741,0.169,0.375,-1.0,0.79,phishing
2.333,0.765,0.618,4.667,0.132,5.778,0.808,0.667,0.412,0.51,0.619,1.0,Defacement
2.667,0.772,0.533,3.5,0.152,5.071,0.69,0.5,0.217,0.351,0.408,0.836,malware
5.7,0.838,0.025,0.333,0.075,11.167,0.03,0.667,0.113,0.0,-1.0,1.0,malware
4.2,0.51,0.041,0.118,0.347,1.471,0.08,0.353,0.204,0.444,-1.0,0.788,spam
2.909,0.671,0.057,0.25,0.229,2.938,0.085,0.688,0.1,0.0,0.0,0.844,spam
2.667,0.886,0.819,11.333,0.072,12.25,0.925,0.75,0.036,0.041,0.044,0.843,Defacement
4.333,0.883,0.79,10.385,0.076,11.615,0.894,0.769,0.152,0.173,0.193,0.86,malware
4.143,0.673,0.039,0.2,0.192,3.5,0.057,0.7,0.115,0.231,-1.0,0.819,benign
4.625,0.638,0.029,0.111,0.261,2.444,0.046,0.611,0.0,0.0,-1.0,0.83,malware
4.75,0.634,0.028,0.105,0.268,2.368,0.044,0.474,0.042,0.0,-1.0,0.892,malware
2.846,0.714,0.029,0.154,0.186,3.846,0.04,0.692,0.029,0.0,-1.0,0.875,benign
5.4,0.604,0.038,0.143,0.264,2.286,0.063,0.5,0.076,0.444,-1.0,0.798,phishing
3.0,0.727,0.53,3.182,0.167,4.364,0.729,0.727,0.03,0.056,0.057,0.947,malware
3.6,0.745,0.51,2.778,0.184,4.056,0.685,0.5,0.439,0.508,0.62,0.893,malware
3.0,0.385,0.051,0.118,0.436,0.882,0.133,0.588,0.0,0.0,-1.0,0.834,phishing
2.667,0.585,0.415,1.35,0.308,1.9,0.711,0.4,0.0,0.0,0.0,0.789,Defacement
5.125,0.676,0.028,0.125,0.225,3.0,0.042,0.813,0.0,0.0,-1.0,0.863,benign
2.667,0.775,0.667,4.25,0.157,4.938,0.861,0.375,0.069,0.09,0.103,0.777,Defacement
9.167,0.732,0.024,0.133,0.183,4.0,0.033,0.533,0.317,0.44,-1.0,0.851,malware
5.0,0.736,0.028,0.167,0.167,4.417,0.038,0.75,0.056,1.0,-1.0,1.0,benign
2.667,0.748,0.659,3.375,0.195,3.833,0.88,0.583,0.057,0.077,0.086,0.823,Defacement
3.417,0.667,0.026,0.105,0.244,2.737,0.039,0.421,0.244,0.0,-1.0,0.817,phishing
3.0,0.225,0.041,0.065,0.633,0.355,0.182,0.258,0.0,0.0,-1.0,0.784,phishing
3.5,0.386,0.046,0.1,0.455,0.85,0.118,0.85,0.023,0.1,-1.0,0.844,phishing
10.833,0.761,0.022,0.133,0.163,4.667,0.029,0.533,0.283,0.393,-1.0,0.851,malware
1.0,0.769,0.722,4.333,0.167,4.611,0.94,0.667,0.009,0.022,0.0,0.76,phishing
4.546,0.779,0.026,0.2,0.13,6.0,0.033,0.7,0.169,0.546,-1.0,0.819,benign
5.5,0.672,0.035,0.167,0.207,3.25,0.051,0.75,0.0,0.0,-1.0,0.861,benign
4.0,0.58,0.04,0.143,0.28,2.071,0.069,0.286,0.0,0.0,-1.0,0.709,Defacement
2.5,0.761,0.671,4.214,0.159,4.786,0.881,0.357,0.046,-1.0,-1.0,0.747,phishing
4.333,0.4,0.05,0.118,0.425,0.941,0.125,0.588,0.0,0.0,-1.0,0.834,phishing
3.333,0.364,0.061,0.143,0.424,0.857,0.167,0.5,0.0,0.0,-1.0,0.836,Defacement
3.667,0.755,0.5,2.75,0.182,4.15,0.663,0.75,0.246,0.388,0.473,0.766,spam
2.875,0.608,0.039,0.154,0.255,2.385,0.065,0.692,0.039,0.0,-1.0,0.875,benign
5.5,0.739,0.362,2.273,0.159,4.636,0.49,0.455,0.044,0.071,0.12,0.842,spam
7.667,0.708,0.028,0.143,0.194,3.643,0.039,0.571,0.306,0.645,-1.0,0.873,malware
4.6,0.724,0.026,0.143,0.184,3.929,0.036,0.786,0.0,0.0,-1.0,0.925,malware
4.636,0.604,0.02,0.061,0.327,1.849,0.033,0.788,0.0,0.0,-1.0,0.802,phishing
8.333,0.609,0.022,0.069,0.315,1.931,0.036,0.69,0.239,0.688,-1.0,0.728,phishing
2.333,0.444,0.167,0.462,0.361,1.231,0.375,0.462,0.083,0.2,0.5,0.776,Defacement
3.667,0.805,0.639,4.154,0.154,5.231,0.794,0.5,0.189,0.378,0.087,0.791,spam
3.667,0.551,0.041,0.133,0.306,1.8,0.074,0.533,0.0,0.0,-1.0,0.77,phishing
3.5,0.734,0.453,2.9,0.156,4.7,0.617,0.7,0.063,0.108,0.138,0.94,malware
2.667,0.681,0.56,2.318,0.242,2.818,0.823,0.409,0.011,0.016,0.02,0.788,Defacement
2.667,0.772,0.683,4.0,0.171,4.524,0.884,0.524,0.057,0.075,0.083,0.832,Defacement
4.667,0.803,0.513,3.75,0.137,5.875,0.638,0.25,0.18,0.304,0.35,0.77,spam
4.6,0.687,0.269,1.286,0.209,3.286,0.391,0.714,0.09,0.0,0.0,0.747,malware
10.0,0.396,0.014,0.026,0.554,0.714,0.036,0.221,0.23,0.0,-1.0,0.713,phishing
3.0,0.727,0.53,3.182,0.167,4.364,0.729,0.727,0.03,0.056,0.057,0.947,malware
5.4,0.803,0.541,3.882,0.139,5.765,0.674,0.353,0.189,0.267,0.349,0.874,spam
3.0,0.314,0.057,0.118,0.486,0.647,0.182,0.824,0.0,0.0,-1.0,0.827,Defacement
2.5,0.927,0.88,17.6,0.05,18.533,0.95,0.667,0.16,0.176,0.182,0.864,spam
2.8,0.529,0.059,0.222,0.265,2.0,0.111,0.667,0.059,0.167,-1.0,0.93,Defacement
3.889,0.803,0.531,3.44,0.154,5.2,0.662,0.68,0.21,0.327,0.0,0.791,phishing
2.667,0.803,0.717,5.056,0.142,5.667,0.892,0.333,0.047,0.059,0.066,0.857,Defacement
4.077,0.73,0.023,0.118,0.191,3.824,0.031,0.588,0.067,0.0,-1.0,0.903,phishing
3.75,0.645,0.339,1.4,0.242,2.667,0.525,0.533,0.032,0.059,0.095,0.851,Defacement
4.2,0.791,0.555,3.813,0.146,5.438,0.701,0.563,0.055,0.079,0.098,0.75,malware
4.2,0.804,0.571,4.267,0.134,6.0,0.711,0.667,0.259,0.345,0.5,0.898,spam
3.6,0.478,0.044,0.118,0.37,1.294,0.091,0.353,0.087,0.444,-1.0,0.788,spam
1.0,0.691,0.618,3.0,0.206,3.357,0.894,0.714,0.088,0.0,0.0,0.784,malware
5.4,0.646,0.042,0.2,0.208,3.1,0.065,0.5,0.021,0.111,-1.0,0.88,spam
4.375,0.667,0.032,0.143,0.222,3.0,0.048,0.643,0.0,0.0,-1.0,0.873,phishing
6.167,0.618,0.029,0.105,0.279,2.211,0.048,0.632,0.059,0.0,-1.0,0.867,malware
4.083,0.825,0.444,3.381,0.131,6.286,0.538,0.714,0.138,0.268,0.31,0.789,phishing
5.8,0.647,0.039,0.182,0.216,3.0,0.061,0.455,0.49,0.643,-1.0,0.77,phishing
9.583,0.824,0.013,0.1,0.131,6.3,0.016,0.35,0.294,0.227,-1.0,0.876,phishing
2.5,0.978,0.964,64.267,0.015,65.2,0.986,0.667,0.163,0.168,0.169,0.864,spam
2.667,0.689,0.583,2.4,0.243,2.84,0.845,0.44,0.039,0.057,0.067,0.832,Defacement
4.375,0.716,0.135,0.714,0.189,3.786,0.189,0.571,0.122,0.16,0.4,0.747,malware
8.286,0.793,0.024,0.2,0.122,6.5,0.031,0.8,0.098,0.174,-1.0,0.699,benign
4.667,0.739,0.352,1.938,0.182,4.063,0.477,0.25,0.057,0.125,0.161,0.77,spam
5.25,0.676,0.027,0.118,0.23,2.941,0.04,0.824,0.0,0.0,-1.0,0.719,benign
3.5,0.606,0.415,1.3,0.319,1.9,0.684,0.667,0.021,0.041,0.051,0.786,Defacement
5.267,0.825,0.018,0.154,0.114,7.231,0.021,0.769,0.0,0.0,-1.0,0.917,benign
4.2,0.804,0.571,4.267,0.134,6.0,0.711,0.667,0.205,0.274,0.393,0.898,spam
5.0,0.347,0.041,0.08,0.51,0.68,0.118,0.88,0.0,0.0,-1.0,0.804,phishing
2.6,0.747,0.54,3.133,0.172,4.333,0.723,0.533,0.184,0.214,0.255,0.817,malware
5.667,0.396,0.042,0.091,0.458,0.864,0.105,0.682,0.271,1.0,-1.0,0.87,phishing
5.4,0.574,0.037,0.125,0.296,1.938,0.065,0.813,0.13,1.0,-1.0,0.863,benign
9.222,0.836,0.018,0.182,0.1,8.364,0.022,0.455,0.191,0.656,-1.0,0.77,phishing
3.4,0.529,0.098,0.294,0.333,1.588,0.185,0.588,0.039,0.091,0.4,0.788,Defacement
4.667,0.635,0.039,0.167,0.231,2.75,0.061,0.5,0.0,0.0,-1.0,0.797,phishing
2.667,0.238,0.048,0.08,0.595,0.4,0.2,0.72,0.0,0.0,-1.0,0.78,phishing
9.154,0.84,0.013,0.111,0.115,7.278,0.015,0.5,0.122,0.157,-1.0,0.82,spam
5.286,0.638,0.029,0.111,0.261,2.444,0.046,0.667,0.029,0.0,-1.0,0.92,phishing
2.333,0.719,0.547,3.182,0.172,4.182,0.761,0.727,0.031,0.056,0.057,0.947,malware
4.8,0.687,0.024,0.105,0.229,3.0,0.035,0.632,0.337,0.792,-1.0,0.833,malware
6.5,0.366,0.049,0.105,0.463,0.79,0.133,0.842,0.0,0.0,-1.0,0.851,phishing
2.75,0.9,0.821,13.0,0.063,14.25,0.912,0.5,0.405,0.461,0.494,0.797,phishing
4.333,0.656,0.406,1.733,0.234,2.8,0.619,0.333,0.141,0.22,0.346,0.735,Defacement
4.286,0.661,0.036,0.182,0.196,3.364,0.054,0.727,0.232,0.192,-1.0,1.0,benign
4.143,0.563,0.031,0.095,0.328,1.714,0.056,0.667,0.0,0.0,-1.0,0.818,phishing
3.333,0.528,0.167,0.6,0.278,1.9,0.316,0.7,0.028,0.056,0.167,0.94,Defacement
3.889,0.688,0.031,0.154,0.203,3.385,0.046,0.692,0.031,0.0,-1.0,0.875,benign
2.75,0.744,0.561,3.286,0.171,4.357,0.754,0.357,0.037,0.054,0.065,0.836,Defacement
5.6,0.559,0.034,0.105,0.322,1.737,0.061,0.684,0.0,0.0,-1.0,0.74,phishing
5.25,0.71,0.029,0.154,0.188,3.769,0.041,0.615,0.029,0.069,-1.0,0.917,phishing
2.8,0.922,0.844,17.167,0.049,18.75,0.916,0.5,0.111,0.125,0.131,0.843,Defacement
7.8,0.705,0.033,0.182,0.18,3.909,0.047,0.818,0.0,0.0,-1.0,0.823,benign
4.5,0.662,0.031,0.133,0.231,2.867,0.047,0.8,0.046,0.0,-1.0,0.851,malware
3.0,0.684,0.333,1.727,0.193,3.546,0.487,0.727,0.0,0.0,0.0,0.895,Defacement
4.25,0.5,0.05,0.154,0.325,1.539,0.1,0.769,0.025,0.071,-1.0,0.917,phishing
4.429,0.5,0.027,0.067,0.405,1.233,0.054,0.9,0.0,0.0,-1.0,0.775,malware
2.909,0.671,0.057,0.25,0.229,2.938,0.085,0.688,0.114,0.0,0.0,0.844,spam
4.4,0.54,0.04,0.125,0.32,1.688,0.074,0.625,0.0,0.0,-1.0,0.832,phishing
4.143,0.798,0.023,0.182,0.124,6.455,0.028,0.818,0.112,-1.0,-1.0,0.842,benign
4.091,0.753,0.027,0.182,0.151,5.0,0.036,0.818,0.082,0.167,-1.0,0.895,benign
1.0,0.681,0.609,2.8,0.217,3.133,0.894,0.733,0.101,0.0,0.0,0.77,malware
4.75,0.659,0.398,1.522,0.261,2.522,0.603,0.652,0.102,0.111,0.143,0.87,spam
3.5,0.439,0.049,0.125,0.39,1.125,0.111,0.563,0.0,0.0,-1.0,0.832,phishing
5.125,0.632,0.026,0.095,0.276,2.286,0.042,0.714,0.013,0.0,-1.0,0.87,malware
2.667,0.678,0.552,2.286,0.241,2.81,0.814,0.524,0.046,0.069,0.083,0.832,Defacement
3.667,0.463,0.122,0.333,0.366,1.267,0.263,0.533,0.049,0.111,0.4,0.77,Defacement
4.79,0.88,0.016,0.25,0.064,13.75,0.018,0.625,0.0,0.0,-1.0,0.917,benign
4.125,0.645,0.032,0.133,0.242,2.667,0.05,0.8,0.258,-1.0,-1.0,0.932,benign
3.667,0.804,0.637,4.115,0.155,5.192,0.793,0.5,0.244,0.507,0.087,0.791,spam
4.158,0.822,0.017,0.143,0.119,6.929,0.021,0.786,0.127,0.089,-1.0,0.836,benign
4.909,0.79,0.025,0.2,0.124,6.4,0.031,0.4,0.037,0.214,-1.0,0.819,benign
4.2,0.672,0.269,1.2,0.224,3.0,0.4,0.8,0.209,0.105,0.111,0.851,benign
4.25,0.5,0.05,0.154,0.325,1.539,0.1,0.769,0.025,0.071,-1.0,0.917,phishing
4.364,0.756,0.026,0.167,0.154,4.917,0.034,0.75,0.09,0.123,-1.0,0.907,benign
2.333,0.719,0.547,3.182,0.172,4.182,0.761,0.727,0.031,0.056,0.057,0.947,malware
3.6,0.832,0.657,5.733,0.115,7.267,0.789,0.667,0.168,0.214,0.269,0.898,spam
4.0,0.368,0.053,0.118,0.447,0.824,0.143,0.353,0.105,0.308,-1.0,0.845,spam
4.2,0.789,0.539,3.733,0.144,5.467,0.683,0.667,0.192,0.263,0.357,0.898,spam
3.9,0.676,0.028,0.125,0.225,3.0,0.042,0.563,0.0,0.0,-1.0,0.801,phishing
24.0,0.775,0.016,0.091,0.171,4.546,0.02,0.364,0.442,0.594,-1.0,0.85,phishing
7.875,0.737,0.021,0.111,0.19,3.889,0.029,0.611,0.484,-1.0,-1.0,0.724,malware
5.5,0.697,0.434,1.87,0.232,3.0,0.623,0.652,0.162,0.226,0.279,0.87,spam
7.5,0.667,0.039,0.222,0.177,3.778,0.059,0.667,0.0,0.0,-1.0,1.0,benign
2.667,0.8,0.704,5.063,0.139,5.75,0.88,0.625,0.035,0.044,0.049,0.82,Defacement
4.0,0.392,0.039,0.083,0.471,0.833,0.1,0.417,0.02,0.0,-1.0,0.848,phishing
5.6,0.733,0.022,0.118,0.189,3.882,0.03,0.824,0.0,0.0,-1.0,0.719,benign
3.6,0.478,0.044,0.118,0.37,1.294,0.091,0.353,0.087,0.444,-1.0,0.788,spam
3.5,0.734,0.453,2.9,0.156,4.7,0.617,0.7,0.063,0.108,0.138,0.94,malware
4.0,0.694,0.041,0.133,0.306,2.267,0.059,0.4,0.0,0.0,-1.0,0.817,malware
2.5,0.977,0.962,60.0,0.016,60.933,0.985,0.667,0.157,0.162,0.163,0.864,spam
4.667,0.929,0.824,16.688,0.049,18.813,0.887,0.25,0.17,0.291,0.031,0.77,spam
4.5,0.282,0.051,0.095,0.539,0.524,0.182,0.667,0.103,0.444,-1.0,0.737,phishing
3.0,0.25,0.046,0.077,0.591,0.423,0.182,0.615,0.0,0.0,-1.0,0.84,Defacement
3.0,0.447,0.132,0.357,0.368,1.214,0.294,0.643,0.079,0.188,0.6,0.887,Defacement
3.0,0.733,0.027,0.154,0.173,4.231,0.036,0.769,0.053,-1.0,-1.0,0.901,malware
6.833,0.864,0.012,0.133,0.093,9.333,0.014,0.533,0.13,0.0,-1.0,0.77,phishing
2.667,0.754,0.667,3.5,0.191,3.958,0.884,0.5,0.048,0.064,0.071,0.816,Defacement
2.667,0.787,0.67,4.846,0.138,5.692,0.851,0.539,0.096,0.11,0.127,0.834,spam
5.125,0.696,0.029,0.143,0.203,3.429,0.042,0.786,0.0,0.0,-1.0,0.925,malware
8.462,0.83,0.014,0.111,0.122,6.778,0.016,0.5,0.143,0.188,-1.0,0.82,spam
4.1,0.75,0.185,1.063,0.174,4.313,0.246,0.813,0.13,0.6,0.706,0.844,phishing
5.167,0.561,0.03,0.091,0.333,1.682,0.054,0.727,0.136,0.5,-1.0,0.822,phishing
4.25,0.5,0.05,0.154,0.325,1.539,0.1,0.769,0.1,0.286,-1.0,0.917,phishing
3.5,0.155,0.035,0.048,0.724,0.214,0.222,0.524,0.052,0.0,-1.0,0.801,phishing
4.556,0.79,0.032,0.333,0.097,8.167,0.041,0.667,0.387,0.727,-1.0,1.0,benign
2.2,0.667,0.424,1.867,0.227,2.933,0.636,0.8,0.091,0.081,0.107,0.932,malware
2.75,0.728,0.583,2.857,0.204,3.571,0.8,0.381,0.039,0.057,0.067,0.875,Defacement
2.667,0.667,0.54,2.136,0.253,2.636,0.81,0.546,0.046,0.07,0.085,0.829,Defacement
5.222,0.743,0.027,0.167,0.162,4.583,0.036,0.75,0.095,1.0,-1.0,0.861,benign
3.25,0.736,0.022,0.118,0.187,3.941,0.03,0.824,0.0,0.0,-1.0,0.788,benign
5.125,0.632,0.026,0.095,0.276,2.286,0.042,0.714,0.0,0.0,-1.0,0.87,malware
3.8,0.489,0.043,0.118,0.362,1.353,0.087,0.353,0.106,0.5,-1.0,0.788,spam
9.583,0.824,0.013,0.1,0.131,6.3,0.016,0.35,0.301,0.227,-1.0,0.876,phishing
5.833,0.863,0.021,0.333,0.063,13.667,0.024,0.667,0.095,0.0,-1.0,1.0,malware
13.0,0.618,0.029,0.105,0.279,2.211,0.048,0.632,0.235,0.5,-1.0,0.74,phishing
4.8,0.56,0.04,0.133,0.3,1.867,0.071,0.533,0.0,0.0,-1.0,0.761,phishing
2.667,0.761,0.641,3.933,0.163,4.667,0.843,0.6,0.054,0.073,0.085,0.782,Defacement
5.364,0.802,0.023,0.2,0.116,6.9,0.029,0.7,0.0,0.0,-1.0,1.0,benign
3.667,0.768,0.57,3.115,0.183,4.192,0.743,0.5,0.225,0.596,0.073,0.791,spam
3.6,0.774,0.527,3.5,0.151,5.143,0.681,0.571,0.172,0.2,0.245,0.784,malware
5.211,0.861,0.015,0.167,0.088,9.833,0.017,0.75,0.022,-1.0,-1.0,0.954,malware
4.6,0.687,0.269,1.286,0.209,3.286,0.391,0.714,0.09,0.0,0.0,0.747,malware
2.5,0.972,0.955,50.4,0.019,51.333,0.982,0.667,0.16,0.166,0.168,0.864,spam
5.714,0.687,0.03,0.143,0.209,3.286,0.044,0.786,0.119,1.0,-1.0,0.798,benign
3.7,0.671,0.029,0.125,0.229,2.938,0.043,0.563,0.1,0.077,-1.0,0.813,malware
4.75,0.659,0.398,1.522,0.261,2.522,0.603,0.652,0.102,0.111,0.143,0.87,spam
2.667,0.83,0.769,5.833,0.132,6.292,0.927,0.417,0.121,-1.0,-1.0,0.721,Defacement
2.75,0.5,0.035,0.091,0.379,1.318,0.069,0.682,0.0,0.0,-1.0,0.822,phishing
4.778,0.788,0.03,0.286,0.106,7.429,0.039,0.571,0.121,0.0,-1.0,1.0,benign
3.6,0.832,0.657,5.733,0.115,7.267,0.789,0.667,0.229,0.291,0.372,0.898,spam
4.6,0.687,0.269,1.286,0.209,3.286,0.391,0.714,0.09,0.0,0.0,0.747,malware
2.667,0.738,0.631,3.25,0.194,3.8,0.855,0.4,0.019,0.027,0.031,0.789,Defacement
2.667,0.884,0.817,11.167,0.073,12.083,0.924,0.75,0.043,0.049,0.052,0.843,Defacement
3.8,0.371,0.032,0.063,0.516,0.719,0.087,0.656,0.016,0.091,-1.0,0.691,phishing
11.333,0.833,0.108,1.1,0.098,8.5,0.129,0.5,0.206,0.318,0.182,0.88,spam
4.539,0.809,0.023,0.2,0.112,7.2,0.028,0.7,0.067,0.0,-1.0,0.94,benign
4.25,0.5,0.05,0.154,0.325,1.539,0.1,0.769,0.05,0.143,-1.0,0.917,phishing
7.0,0.645,0.032,0.133,0.242,2.667,0.05,0.867,0.016,0.125,-1.0,0.932,benign
4.25,0.681,0.022,0.091,0.242,2.818,0.032,0.682,0.099,0.2,-1.0,0.87,phishing
3.667,0.406,0.063,0.167,0.375,1.083,0.154,0.583,0.031,0.0,-1.0,0.907,spam
3.0,0.819,0.667,5.833,0.114,7.167,0.814,0.75,0.019,0.025,0.029,0.861,malware
2.333,0.5,0.25,0.769,0.325,1.539,0.5,0.462,0.05,0.105,0.2,0.776,Defacement
3.917,0.756,0.026,0.167,0.154,4.917,0.034,0.75,0.0,0.0,-1.0,0.907,benign
4.2,0.791,0.555,3.813,0.146,5.438,0.701,0.563,0.055,0.079,0.098,0.75,malware
6.143,0.721,0.029,0.167,0.177,4.083,0.041,0.5,0.441,0.81,-1.0,0.768,malware
3.091,0.595,0.027,0.087,0.311,1.913,0.046,0.565,0.041,0.0,-1.0,0.786,malware
3.059,0.756,0.022,0.133,0.167,4.533,0.029,0.8,0.067,0.045,-1.0,0.795,benign
2.692,0.662,0.028,0.118,0.239,2.765,0.043,0.824,0.042,-1.0,-1.0,0.788,benign
2.9,0.594,0.031,0.105,0.297,2.0,0.053,0.579,0.063,0.0,-1.0,0.833,malware
2.667,0.76,0.674,3.625,0.186,4.083,0.888,0.417,0.07,-1.0,-1.0,0.721,Defacement
3.429,0.652,0.044,0.125,0.348,1.875,0.067,0.813,0.261,0.0,-1.0,0.801,malware
5.8,0.471,0.029,0.067,0.429,1.1,0.061,0.667,0.357,0.643,-1.0,0.721,phishing
1.0,0.671,0.6,2.625,0.229,2.938,0.894,0.563,0.014,0.0,0.024,0.832,phishing
2.667,0.796,0.684,5.154,0.133,6.0,0.859,0.539,0.122,0.143,0.164,0.834,spam
2.667,0.75,0.64,3.556,0.18,4.167,0.853,0.667,0.05,0.068,0.078,0.84,Defacement
3.2,0.74,0.468,2.769,0.169,4.385,0.632,0.539,0.039,0.0,0.0,0.86,malware
2.667,0.615,0.404,1.615,0.25,2.462,0.656,0.462,0.154,0.258,0.381,0.751,Defacement
3.667,0.406,0.063,0.167,0.375,1.083,0.154,0.583,0.031,0.0,-1.0,0.907,spam
2.667,0.764,0.66,3.889,0.17,4.5,0.864,0.667,0.047,0.063,0.071,0.857,Defacement
2.667,0.804,0.725,5.0,0.145,5.55,0.901,0.65,0.044,0.055,0.06,0.806,Defacement
2.667,0.794,0.68,5.077,0.134,5.923,0.857,0.539,0.113,0.132,0.152,0.834,spam
3.6,0.468,0.043,0.111,0.383,1.222,0.091,0.667,0.0,0.0,-1.0,0.84,Defacement
2.667,0.788,0.708,4.409,0.161,4.909,0.898,0.546,0.058,0.075,0.083,0.829,Defacement
3.5,0.835,0.693,6.286,0.11,7.571,0.83,0.286,0.386,0.439,0.489,0.747,phishing
2.667,0.761,0.636,4.0,0.159,4.786,0.836,0.786,0.057,0.076,0.089,0.836,malware
2.8,0.873,0.745,9.25,0.081,10.833,0.854,0.5,0.034,0.041,0.045,0.843,Defacement
16.0,0.493,0.029,0.071,0.406,1.214,0.059,0.286,0.232,0.5,-1.0,0.786,phishing
4.2,0.817,0.6,4.8,0.125,6.533,0.735,0.667,0.217,0.283,0.429,0.898,spam
4.25,0.5,0.05,0.154,0.325,1.539,0.1,0.769,0.025,0.071,-1.0,0.917,phishing
2.0,0.871,0.818,9.267,0.088,9.867,0.939,0.667,0.159,0.0,0.234,0.898,spam
3.846,0.785,0.025,0.2,0.127,6.2,0.032,0.5,0.0,0.0,-1.0,0.88,spam
2.5,0.974,0.958,54.933,0.017,55.867,0.983,0.667,0.165,0.171,0.172,0.864,spam
11.333,0.833,0.108,1.1,0.098,8.5,0.129,0.5,0.206,0.318,0.182,0.88,spam
2.667,0.756,0.628,3.857,0.163,4.643,0.831,0.786,0.035,0.047,0.056,0.836,malware
7.556,0.768,0.02,0.125,0.162,4.75,0.026,0.875,0.0,0.0,-1.0,0.832,malware
3.25,0.689,0.131,0.667,0.197,3.5,0.191,0.583,0.016,0.0,0.0,0.907,spam
2.667,0.772,0.533,3.5,0.152,5.071,0.69,0.5,0.217,0.351,0.408,0.836,malware
2.909,0.671,0.057,0.25,0.229,2.938,0.085,0.688,0.086,0.0,0.0,0.844,spam
3.8,0.489,0.043,0.118,0.362,1.353,0.087,0.353,0.106,0.5,-1.0,0.788,spam
6.167,0.712,0.034,0.2,0.17,4.2,0.048,0.4,0.0,0.0,-1.0,0.797,benign
4.2,0.51,0.041,0.118,0.347,1.471,0.08,0.353,0.204,0.444,-1.0,0.788,spam
4.2,0.51,0.041,0.118,0.347,1.471,0.08,0.353,0.204,0.444,-1.0,0.788,spam
3.0,0.775,0.606,4.778,0.127,6.111,0.782,0.667,0.113,0.148,0.186,1.0,malware
3.833,0.547,0.038,0.118,0.321,1.706,0.069,0.824,0.0,-1.0,-1.0,0.885,benign
4.222,0.762,0.377,2.091,0.18,4.227,0.495,0.773,0.172,0.303,0.391,0.801,spam
2.667,0.699,0.581,2.571,0.226,3.095,0.831,0.524,0.032,0.047,0.056,0.775,Defacement
1.0,0.777,0.723,4.857,0.149,5.214,0.932,0.714,0.075,0.015,0.015,0.798,malware
3.8,0.535,0.047,0.154,0.302,1.769,0.087,0.769,0.0,0.0,-1.0,0.958,phishing
4.25,0.699,0.123,0.6,0.206,3.4,0.177,1.0,0.192,0.158,0.333,0.851,malware
6.25,0.672,0.239,1.067,0.224,3.0,0.356,0.6,0.119,0.212,0.438,0.864,malware
3.5,0.654,0.475,1.714,0.277,2.357,0.727,0.643,0.05,0.086,0.104,0.769,Defacement
3.2,0.72,0.44,2.357,0.187,3.857,0.611,0.714,0.08,0.0,0.0,0.784,malware
10.0,0.672,0.031,0.143,0.219,3.071,0.047,0.643,0.203,0.333,-1.0,0.85,malware
5.769,0.813,0.019,0.154,0.122,6.692,0.023,0.769,0.449,-1.0,-1.0,0.802,benign
3.5,0.752,0.581,3.211,0.181,4.158,0.772,0.632,0.019,0.028,0.033,0.743,Defacement
